Silhouette,Calinski-Harabasz,Davies-Bouldin,V-Measure,Clustering Method,Target
0.11654119938611984,61.301002502441406,2.2885814887826017,0.39897794668160735,K-Means,catalysis_type
,,,,DBSCAN,catalysis_type
0.08392404764890671,56.6180534362793,2.272725995174518,0.43446932771103797,Agglomerative,catalysis_type
0.11654119938611984,61.301002502441406,2.2885814887826017,0.39897794668160735,GMM,catalysis_type
0.27506738901138306,33.707027435302734,1.287990840902082,0.17836995031174674,HDBSCAN,catalysis_type
0.1088789701461792,63.385658264160156,2.4355044562318384,0.314006430377429,K-Means,application_theme
,,,,DBSCAN,application_theme
0.10716046392917633,62.74126434326172,2.3033310337735604,0.3522907192776834,Agglomerative,application_theme
0.1088789701461792,63.385658264160156,2.4355044562318384,0.314006430377429,GMM,application_theme
0.27506738901138306,33.707027435302734,1.287990840902082,0.16782397165354745,HDBSCAN,application_theme
